price,floor_area,beds,baths,property_type,floor_area_unit,price_sq_mt
400000.0,106.0,3.0,1.0,Semi-D,m²,3774.0
795000.0,425.0,6.0,5.0,Detached,m²,1871.0
420000.0,300.0,5.0,4.0,Detached,m²,1400.0
325000.0,84.0,2.0,2.0,Apartment,m²,3869.0
295000.0,164.0,5.0,3.0,Detached,m²,1799.0
695000.0,215.0,4.0,3.0,Detached,m²,3233.0
515000.0,232.0,5.0,4.0,Detached,m²,2220.0
135000.0,116.0,3.0,3.0,Semi-D,m²,1164.0
2395000.0,436.0,6.0,4.0,Detached,m²,5493.0
1300000.0,235.0,7.0,2.0,Detached,m²,5532.0
795000.0,207.0,5.0,4.0,Detached,m²,3841.0
1850000.0,311.0,5.0,4.0,Detached,m²,5949.0
795000.0,207.0,5.0,4.0,Detached,m²,3841.0
675000.0,313.0,5.0,5.0,Detached,m²,2157.0
345000.0,113.0,3.0,3.0,Semi-D,m²,3053.0
550000.0,110.0,3.0,2.0,Detached,m²,5000.0
675000.0,142.0,4.0,2.0,Detached,m²,4754.0
238000.0,114.0,3.0,3.0,Detached,m²,2088.0
1295000.0,252.0,3.0,3.0,Detached,m²,5139.0
735000.0,142.0,5.0,3.0,Detached,m²,5176.0
545000.0,98.0,3.0,1.0,Detached,m²,5561.0
795000.0,145.0,4.0,3.0,Semi-D,m²,5483.0
1625000.0,161.0,3.0,3.0,Apartment,m²,10093.0
290000.0,185.0,5.0,3.0,Detached,m²,1568.0
325000.0,129.0,3.0,2.0,Semi-D,m²,2519.0
795000.0,148.0,4.0,2.0,Detached,m²,5372.0
495000.0,221.0,6.0,6.0,Detached,m²,2240.0
570000.0,167.0,4.0,4.0,Detached,m²,3413.0
260000.0,86.0,3.0,1.0,Semi-D,m²,3023.0
485000.0,65.0,2.0,1.0,Apartment,m²,7462.0
1000000.0,390.0,6.0,8.0,Detached,m²,2564.0
550000.0,170.0,4.0,3.0,Detached,m²,3235.0
275000.0,186.0,3.0,3.0,Detached,m²,1478.0
450000.0,240.0,5.0,3.0,Detached,m²,1875.0
850000.0,345.0,5.0,4.0,Detached,m²,2464.0
220000.0,65.0,2.0,1.0,Apartment,m²,3385.0
295000.0,82.0,3.0,1.0,Semi-D,m²,3598.0
295000.0,93.0,4.0,1.0,Semi-D,m²,3172.0
780000.0,239.0,7.0,3.0,Detached,m²,3264.0
595000.0,102.0,3.0,2.0,Detached,m²,5833.0
125000.0,111.0,4.0,1.0,Detached,m²,1126.0
