month,country,residential_price_index,perc_change_prev,perc_change_yoy
2002-02-01,PL,84.0,0.4,1.3
2002-02-01,PT,77.1,0.0,3.1
2002-03-01,AT,69.2,0.4,1.8
2002-03-01,ES,71.2,0.1,1.3
2002-03-01,FI,74.4,0.4,0.7
2002-03-01,IE,76.6,0.4,2.8
2002-03-01,LT,62.3,1.0,-0.6
2002-03-01,NL,79.8,0.5,4.3
2002-03-01,NO,62.5,0.5,3.3
2002-03-01,PL,84.2,0.2,1.3
2002-03-01,PT,77.6,0.6,3.5
2002-04-01,AT,69.2,0.0,1.5
2002-04-01,ES,71.3,0.1,1.1
2002-04-01,FI,74.8,0.5,0.5
2002-04-01,IE,78.4,2.3,4.3
2002-04-01,LT,62.6,0.5,-1.3
2002-04-01,NL,79.8,0.0,3.1
2002-04-01,NO,62.5,0.0,3.1
2002-04-01,PL,83.6,-0.7,0.7
2002-04-01,PT,78.5,1.2,3.2
2002-05-01,AT,70.0,1.2,1.4
2002-05-01,ES,71.4,0.1,1.1
2002-05-01,FI,74.9,0.1,0.5
2002-05-01,IE,77.9,-0.6,3.6
2002-05-01,LT,62.9,0.5,0.5
2002-05-01,NL,79.8,0.0,2.7
2002-05-01,NO,62.7,0.3,3.5
2002-05-01,PL,83.5,-0.1,0.2
2002-05-01,PT,78.6,0.1,3.1
2002-06-01,AT,70.0,0.0,1.4
2002-06-01,ES,71.4,0.0,1.3
2002-06-01,FI,75.0,0.1,0.3
2002-06-01,IE,78.2,0.4,3.6
2002-06-01,LT,63.6,1.1,1.0
2002-06-01,NL,79.9,0.1,2.6
2002-06-01,NO,62.7,0.0,3.3
2002-06-01,PL,83.3,-0.2,0.1
2002-06-01,PT,78.7,0.1,3.0
2002-07-01,AT,69.9,-0.1,1.3
2002-07-01,ES,71.4,0.0,1.0
2002-07-01,FI,75.1,0.1,0.4
2002-07-01,IE,78.0,-0.3,2.5
2002-07-01,LT,63.3,-0.5,0.0
2002-07-01,NL,80.3,0.5,2.7
2002-07-01,NO,62.9,0.3,3.3
2002-07-01,PL,83.1,-0.2,-0.1
2002-07-01,PT,78.9,0.3,2.5
2002-08-01,AT,69.8,-0.1,1.3
2002-08-01,ES,72.0,0.8,2.0
2002-08-01,FI,75.2,0.1,0.5
2002-08-01,IE,79.4,1.8,3.3
2002-08-01,LT,64.1,1.3,1.3
2002-08-01,NL,80.3,0.0,2.7
2002-08-01,NO,63.3,0.6,3.9
2002-08-01,PL,83.0,-0.1,-0.5
2002-08-01,PT,78.8,-0.1,2.3
2002-09-01,AT,69.8,0.0,1.6
2002-09-01,ES,72.0,0.0,1.8
2002-09-01,FI,75.1,-0.1,0.9
2002-09-01,IE,80.4,1.3,4.3
2002-09-01,LT,64.0,-0.2,0.3
2002-09-01,NL,80.4,0.1,2.8
2002-09-01,NO,63.4,0.2,3.4
2002-09-01,PL,83.0,0.0,-0.8
2002-09-01,PT,78.6,-0.3,2.3
2002-10-01,AT,69.8,0.0,1.7
2002-10-01,ES,72.1,0.1,2.3
2002-10-01,FI,75.2,0.1,1.3
2002-10-01,IE,81.8,1.7,5.7
2002-10-01,LT,63.6,-0.6,1.4
2002-10-01,NL,80.3,-0.1,2.4
2002-10-01,NO,63.4,0.0,3.3
2002-10-01,PL,82.8,-0.2,-1.2
2002-10-01,PT,79.1,0.6,2.9
2002-11-01,AT,69.9,0.1,1.7
2002-11-01,ES,72.0,-0.1,2.4
2002-11-01,FI,75.2,0.0,1.6
2002-11-01,IE,81.7,-0.1,5.8
2002-11-01,LT,64.0,0.6,2.6
2002-11-01,NL,80.3,0.0,2.4
2002-11-01,NO,63.4,0.0,3.3
2002-11-01,PL,82.5,-0.4,-1.4
2002-11-01,PT,78.7,-0.5,2.5
2002-12-01,AT,70.0,0.1,1.9
